date,price
اليوم  ,"1,724.0"
البارحة  ,"1,719.8"
الاثنين 11 ديسمبر,"1,724.7"
الأحد 10 ديسمبر,"1,712.4"
السبت 9 ديسمبر,"1,710.1"
الجمعة 8 ديسمبر,"1,711.2"
الخميس 7 ديسمبر,"1,712.3"
الأربعاء 6 ديسمبر,"1,707.9"
الثلاثاء 5 ديسمبر,"1,721.4"
الاثنين 4 ديسمبر,"1,734.8"
الأحد 3 ديسمبر,"1,737.2"
السبت 2 ديسمبر,"1,736.7"
الجمعة 1 ديسمبر,"1,732.7"
الخميس 30 ديسمبر,"1,723.5"
